name,lat,lon
New York City,40.7128,-74.0060
Los Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Houston,29.7604,-95.3698
Phoenix,33.4484,-112.0740
Philadelphia,39.9526,-75.1652
San Antonio,29.4241,-98.4936
San Diego,32.7157,-117.1611
Dallas,32.7767,-96.7970
San Jose,37.3382,-121.8863
Austin,30.2672,-97.7431
Jacksonville,30.3322,-81.6557
Fort Worth,32.7555,-97.3308
Columbus,39.9612,-82.9988
San Francisco,37.7749,-122.4194
Charlotte,35.2271,-80.8431
Indianapolis,39.7684,-86.1581
Seattle,47.6062,-122.3321
Denver,39.7392,-104.9903
Washington D.C.,38.9072,-77.0369
Boston,42.3601,-71.0589
El Paso,31.7619,-106.4850
Nashville,36.1627,-86.7816
Detroit,42.3314,-83.0458
Oklahoma City,35.4676,-97.5164
Portland,45.5152,-122.6784
Las Vegas,36.1699,-115.1398
Memphis,35.1495,-90.0490
Louisville,38.2527,-85.7585
Baltimore,39.2904,-76.6122
Milwaukee,43.0389,-87.9065
Albuquerque,35.0844,-106.6504
Tucson,32.2226,-110.9747
Fresno,36.7378,-119.7871
Sacramento,38.5816,-121.4944
Kansas City,39.0997,-94.5786
Mesa,33.4152,-111.8315
Atlanta,33.7490,-84.3880
Omaha,41.2565,-95.9345
Colorado Springs,38.8339,-104.8214
Raleigh,35.7796,-78.6382
Long Beach,33.7701,-118.1937
Virginia Beach,36.8529,-75.9780
Miami,25.7617,-80.1918
Oakland,37.8044,-122.2711
Minneapolis,44.9778,-93.2650
Tulsa,36.1540,-95.9928
Arlington,32.7357,-97.1081
Tampa,27.9506,-82.4572
New Orleans,29.9511,-90.0715
Wichita,37.6872,-97.3301
Cleveland,41.4993,-81.6944
Bakersfield,35.3733,-119.0187
Aurora,39.7294,-104.8319
Anaheim,33.8366,-117.9143
Honolulu,21.3069,-157.8583
Santa Ana,33.7455,-117.8677
Riverside,33.9534,-117.3962
Corpus Christi,27.8006,-97.3964
Lexington,38.0406,-84.5037
St. Louis,38.6270,-90.1994
Stockton,37.9577,-121.2908
Pittsburgh,40.4406,-79.9959
St. Paul,44.9537,-93.0900
Cincinnati,39.1031,-84.5120
Anchorage,61.2181,-149.9003
Henderson,36.0395,-114.9817
Greensboro,36.0726,-79.7920
Plano,33.0198,-96.6989
Newark,40.7357,-74.1724
Lincoln,40.8136,-96.7026
Toledo,41.6528,-83.5379
Orlando,28.5383,-81.3792
Chula Vista,32.6401,-117.0842
Irvine,33.6846,-117.8265
Fort Wayne,41.0793,-85.1394
Jersey City,40.7282,-74.0776
Durham,35.9940,-78.8986
St. Petersburg,27.7676,-82.6403
Laredo,27.5306,-99.4803
Buffalo,42.8864,-78.8784
Madison,43.0731,-89.4012
Lubbock,33.5779,-101.8552
Chandler,33.3062,-111.8413
Scottsdale,33.4942,-111.9261
Reno,39.5296,-119.8138
Glendale,33.5387,-112.1860
Norfolk,36.8508,-76.2859
Winston-Salem,36.0999,-80.2442
North Las Vegas,36.1989,-115.1175
Irving,32.8140,-96.9489
Chesapeake,36.7682,-76.2875
Gilbert,33.3528,-111.7890
Hialeah,25.8576,-80.2781
Garland,32.9126,-96.6389
Fremont,37.5485,-121.9886
Baton Rouge,30.4515,-91.1871
Richmond,37.5407,-77.4360
Boise,43.6150,-116.2023
San Bernardino,34.1083,-117.2898
